"","Site","sdate","Year","Yearf","Month","DOY","Precip","lPrecip","wPrecip","wlPrecip","lag1","lag2","lag3","lag4","lag5","lag6","lag7","lag8","lag9","lag10","Chl_Median","D_Median","lD_Median","DO_Median","PctSat_Median","pH_Median","spCond_Median","T_Median"
"34","S07",2010-07-04,2010,"2010","Jul",185,0,0,43.6371456,3.56911207902541,0,0,3.04452243772342,0,0,4.40671924726425,4.07753744390572,0,0,3.89182029811063,NA,NA,NA,NA,NA,NA,NA,NA
"35","S07",2010-07-05,2010,"2010","Jul",186,0,0,34.90971648,2.85528966322033,0,0,0,3.04452243772342,0,0,4.40671924726425,4.07753744390572,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"36","S07",2010-07-06,2010,"2010","Jul",187,0,0,27.927773184,2.28423173057626,0,0,0,0,3.04452243772342,0,0,4.40671924726425,4.07753744390572,0,NA,NA,NA,NA,NA,NA,NA,NA
"37","S07",2010-07-07,2010,"2010","Jul",188,0,0,16.114515968,1.38956313521625,0,0,0,0,0,3.04452243772342,0,0,4.40671924726425,4.07753744390572,NA,NA,NA,NA,NA,NA,NA,NA
"38","S07",2010-07-08,2010,"2010","Jul",189,0,0,4.194304,0.638482631931655,0,0,0,0,0,0,3.04452243772342,0,0,4.40671924726425,450.224,NA,NA,5.615,59,NA,1602.5,23.91
"39","S07",2010-07-09,2010,"2010","Jul",190,0,0,3.3554432,0.510786105545324,0,0,0,0,0,0,0,3.04452243772342,0,0,475.1984,NA,NA,4.505,52.25,NA,1708,22.705
"40","S07",2010-07-10,2010,"2010","Jul",191,102,4.63472898822964,2.68435456,0.408628884436259,0,0,0,0,0,0,0,0,3.04452243772342,0,460.5827,NA,NA,5.26,61.4,NA,1656.5,22.89
"41","S07",2010-07-11,2010,"2010","Jul",192,0,0,81.6,3.70778319058371,4.63472898822964,0,0,0,0,0,0,0,0,3.04452243772342,159.6128,NA,NA,5.515,64.75,NA,594.5,23.1
"42","S07",2010-07-12,2010,"2010","Jul",193,0,0,65.28,2.96622655246697,0,4.63472898822964,0,0,0,0,0,0,0,0,209.4197,NA,NA,5.545,64.2,NA,771.5,23.115
"43","S07",2010-07-13,2010,"2010","Jul",194,5,1.79175946922805,52.224,2.37298124197357,0,0,4.63472898822964,0,0,0,0,0,0,0,247.5908,NA,NA,5.32,62.3,NA,906,23.19
"44","S07",2010-07-14,2010,"2010","Jul",195,574,6.35437004079735,45.7792,3.3317925689613,1.79175946922805,0,0,4.63472898822964,0,0,0,0,0,0,72.77,NA,NA,7.06,80.3,NA,290,22.115
"45","S07",2010-07-15,2010,"2010","Jul",196,0,0,495.82336,7.74893008780692,6.35437004079735,1.79175946922805,0,0,4.63472898822964,0,0,0,0,0,105.407,NA,NA,6.695,78.05,NA,405,23.26
"46","S07",2010-07-16,2010,"2010","Jul",197,0,0,396.658688,6.19914407024554,0,6.35437004079735,1.79175946922805,0,0,4.63472898822964,0,0,0,0,134.9222,NA,NA,6.22,73.4,NA,508,23.595
"47","S07",2010-07-17,2010,"2010","Jul",198,0,0,317.3269504,4.95931525619643,0,0,6.35437004079735,1.79175946922805,0,0,4.63472898822964,0,0,0,159.4709,NA,NA,5.845,69.1,NA,595.5,24.2
"48","S07",2010-07-18,2010,"2010","Jul",199,0,0,253.86156032,3.96745220495715,0,0,0,6.35437004079735,1.79175946922805,0,0,4.63472898822964,0,0,198.4934,NA,NA,5.47,63.85,NA,733,23.62
"49","S07",2010-07-19,2010,"2010","Jul",200,0,0,203.089248256,3.17396176396572,0,0,0,0,6.35437004079735,1.79175946922805,0,0,4.63472898822964,0,237.6578,NA,NA,5.78,66.3,NA,871,22.44
"50","S07",2010-07-20,2010,"2010","Jul",201,0,0,151.519232,2.04151917541584,0,0,0,0,0,6.35437004079735,1.79175946922805,0,0,4.63472898822964,260.6456,NA,NA,5.84,66.65,NA,951.5,21.865
"51","S07",2010-07-21,2010,"2010","Jul",202,244,5.50125821054473,121.2153856,1.63321534033267,0,0,0,0,0,0,6.35437004079735,1.79175946922805,0,0,273.7004,NA,NA,7.36,85.9,NA,975,21.555
"52","S07",2010-07-22,2010,"2010","Jul",203,0,0,292.17230848,5.70757884070192,5.50125821054473,0,0,0,0,0,0,6.35437004079735,1.79175946922805,0,117.8942,NA,NA,7.46,84.45,NA,448,21.205
"53","S07",2010-07-23,2010,"2010","Jul",204,0,0,233.200975872,4.37367436449571,0,5.50125821054473,0,0,0,0,0,0,6.35437004079735,1.79175946922805,171.8162,NA,NA,7.39,81.4,NA,638,20.765
"54","S07",2010-07-24,2010,"2010","Jul",205,0,0,124.928,2.8166442037989,0,0,5.50125821054473,0,0,0,0,0,0,6.35437004079735,224.0354,NA,NA,6.985,79.45,NA,823,21.385
"55","S07",2010-07-25,2010,"2010","Jul",206,76,4.34380542185368,99.9424,2.25331536303912,0,0,0,5.50125821054473,0,0,0,0,0,0,146.9837,NA,NA,6.585,76,NA,551.5,21.95
"56","S07",2010-07-26,2010,"2010","Jul",207,0,0,140.75392,5.27769662791424,4.34380542185368,0,0,0,5.50125821054473,0,0,0,0,0,196.223,NA,NA,6.765,74.85,NA,725,20.59
"57","S07",2010-07-27,2010,"2010","Jul",208,0,0,112.603136,4.2221573023314,0,4.34380542185368,0,0,0,5.50125821054473,0,0,0,0,231.1304,NA,NA,6.605,73.25,NA,848,20.35
"58","S07",2010-07-28,2010,"2010","Jul",209,0,0,90.0825088,3.37772584186512,0,0,4.34380542185368,0,0,0,5.50125821054473,0,0,0,258.0914,NA,NA,6.255,70.15,NA,943,20.855
"59","S07",2010-07-29,2010,"2010","Jul",210,10,2.39789527279837,72.06600704,2.70218067349209,0,0,0,4.34380542185368,0,0,0,5.50125821054473,0,0,276.5384,NA,NA,6.085,69.3,NA,1008,21.625
"60","S07",2010-07-30,2010,"2010","Jul",211,0,0,65.652805632,4.08006075703237,2.39789527279837,0,0,0,4.34380542185368,0,0,0,5.50125821054473,0,265.1864,NA,NA,6.36,69.4,NA,968,19.685
"61","S07",2010-07-31,2010,"2010","Jul",212,0,0,26.322944,2.67335550309737,0,2.39789527279837,0,0,0,4.34380542185368,0,0,0,5.50125821054473,285.4781,NA,NA,6.68,70.5,NA,1039.5,18.175
"62","S07",2010-08-01,2010,"2010","Aug",213,0,0,21.0583552,2.1386844024779,0,0,2.39789527279837,0,0,0,4.34380542185368,0,0,0,298.5329,NA,NA,6.68,70.95,NA,1085.5,17.95
"63","S07",2010-08-02,2010,"2010","Aug",214,0,0,16.84668416,1.71094752198232,0,0,0,2.39789527279837,0,0,0,4.34380542185368,0,0,307.0469,NA,NA,6.56,70.65,NA,1115.5,18.705
"64","S07",2010-08-03,2010,"2010","Aug",215,0,0,13.477347328,1.36875801758585,0,0,0,0,2.39789527279837,0,0,0,4.34380542185368,0,312.581,NA,NA,6.65,71.9,NA,1135,19.15
"65","S07",2010-08-04,2010,"2010","Aug",216,0,0,2.62144,0.628593858392456,0,0,0,0,0,2.39789527279837,0,0,0,4.34380542185368,325.2101,NA,NA,5.865,64.5,NA,1179.5,20.7
"66","S07",2010-08-05,2010,"2010","Aug",217,15,2.77258872223978,2.097152,0.502875086713965,0,0,0,0,0,0,2.39789527279837,0,0,0,324.5006,NA,NA,5.58,63.6,NA,1177,21.59
"67","S07",2010-08-06,2010,"2010","Aug",218,0,0,13.6777216,2.620371047163,2.77258872223978,0,0,0,0,0,0,2.39789527279837,0,0,275.9708,NA,NA,5.61,63.65,NA,1006,21.625
"68","S07",2010-08-07,2010,"2010","Aug",219,0,0,10.94217728,2.0962968377304,0,2.77258872223978,0,0,0,0,0,0,2.39789527279837,0,271.1462,NA,NA,5.925,63,NA,989,18.29
"69","S07",2010-08-08,2010,"2010","Aug",220,0,0,7.68,1.41956542578677,0,0,2.77258872223978,0,0,0,0,0,0,2.39789527279837,278.0993,NA,NA,6.155,64.2,NA,1013.5,17.77
"70","S07",2010-08-09,2010,"2010","Aug",221,0,0,6.144,1.13565234062941,0,0,0,2.77258872223978,0,0,0,0,0,0,296.6882,NA,NA,5.34,57.55,NA,1078,19.33
"71","S07",2010-08-10,2010,"2010","Aug",222,0,0,4.9152,0.908521872503532,0,0,0,0,2.77258872223978,0,0,0,0,0,449.9402,NA,NA,3.765,43.6,NA,1619,21.205
"72","S07",2010-08-11,2010,"2010","Aug",223,0,0,3.93216,0.726817498002825,0,0,0,0,0,2.77258872223978,0,0,0,0,465.4073,NA,NA,3.76,42.7,NA,1673.5,20.325
"73","S07",2010-08-12,2010,"2010","Aug",224,0,0,3.145728,0.58145399840226,0,0,0,0,0,0,2.77258872223978,0,0,0,492.794,NA,NA,4.095,44.95,NA,1770,18.825
"74","S07",2010-08-13,2010,"2010","Aug",225,0,0,2.5165824,0.465163198721808,0,0,0,0,0,0,0,2.77258872223978,0,0,514.6466,NA,NA,4.305,46.65,NA,1847,18.02
"75","S07",2010-08-14,2010,"2010","Aug",226,0,0,2.01326592,0.372130558977447,0,0,0,0,0,0,0,0,2.77258872223978,0,519.4712,NA,NA,4.255,44.6,NA,1864,17.295
"76","S07",2010-08-15,2010,"2010","Aug",227,0,0,0,0,0,0,0,0,0,0,0,0,0,2.77258872223978,522.8768,NA,NA,4.07,42.9,NA,1876,18.06
"77","S07",2010-08-16,2010,"2010","Aug",228,38,3.66356164612965,0,0,0,0,0,0,0,0,0,0,0,0,371.4695,NA,NA,5.82,64.9,NA,1342.5,19.425
"78","S07",2010-08-17,2010,"2010","Aug",229,0,0,30.4,2.93084931690372,3.66356164612965,0,0,0,0,0,0,0,0,0,377.9969,NA,NA,4.31,47.15,NA,1365.5,20.195
"79","S07",2010-08-18,2010,"2010","Aug",230,0,0,24.32,2.34467945352297,0,3.66356164612965,0,0,0,0,0,0,0,0,417.587,NA,NA,3.53,39.2,NA,1505,19.375
"80","S07",2010-08-19,2010,"2010","Aug",231,0,0,19.456,1.87574356281838,0,0,3.66356164612965,0,0,0,0,0,0,0,451.0754,NA,NA,3.36,36.5,NA,1623,19.025
"81","S07",2010-08-20,2010,"2010","Aug",232,0,0,15.5648,1.5005948502547,0,0,0,3.66356164612965,0,0,0,0,0,0,486.2666,NA,NA,2.82,30,NA,1747,18.465
"82","S07",2010-08-21,2010,"2010","Aug",233,0,0,12.45184,1.20047588020376,0,0,0,0,3.66356164612965,0,0,0,0,0,512.2343,NA,NA,2.89,30.45,NA,1838.5,16.98
"83","S07",2010-08-22,2010,"2010","Aug",234,8,2.19722457733622,9.961472,0.96038070416301,0,0,0,0,0,3.66356164612965,0,0,0,0,536.783,NA,NA,2.51,26.65,NA,1925,17.86
"84","S07",2010-08-23,2010,"2010","Aug",235,18,2.94443897916644,14.3691776,2.52608422519938,2.19722457733622,0,0,0,0,0,3.66356164612965,0,0,0,468.3872,NA,NA,5.455,57.1,NA,1684,17.56
"85","S07",2010-08-24,2010,"2010","Aug",236,0,0,25.89534208,4.37641856349266,2.94443897916644,2.19722457733622,0,0,0,0,0,3.66356164612965,0,0,455.0486,NA,NA,5.525,58.45,NA,1637,17.775
"86","S07",2010-08-25,2010,"2010","Aug",237,671,6.51025834052315,20.716273664,3.50113485079413,0,2.94443897916644,2.19722457733622,0,0,0,0,0,3.66356164612965,0,90.9332,NA,NA,7.805,83,NA,354,18.175
"87","S07",2010-08-26,2010,"2010","Aug",238,0,0,549.2928,7.61574261662865,6.51025834052315,0,2.94443897916644,2.19722457733622,0,0,0,0,0,3.66356164612965,102.4271,NA,NA,7.8,82.7,NA,394.5,19.935
"88","S07",2010-08-27,2010,"2010","Aug",239,0,0,439.43424,6.09259409330292,0,6.51025834052315,0,2.94443897916644,2.19722457733622,0,0,0,0,0,130.0976,NA,NA,7.46,80.6,NA,492,19.42
"89","S07",2010-08-28,2010,"2010","Aug",240,0,0,351.547392,4.87407527464234,0,0,6.51025834052315,0,2.94443897916644,2.19722457733622,0,0,0,0,151.9502,NA,NA,7.36,77.85,NA,568.5,19.185
"90","S07",2010-08-29,2010,"2010","Aug",241,0,0,281.2379136,3.89926021971387,0,0,0,6.51025834052315,0,2.94443897916644,2.19722457733622,0,0,0,165.005,NA,NA,6.665,72.65,NA,614.5,20.4
"91","S07",2010-08-30,2010,"2010","Aug",242,0,0,224.99033088,3.1194081757711,0,0,0,0,6.51025834052315,0,2.94443897916644,2.19722457733622,0,0,192.1079,NA,NA,6.075,67,NA,710.5,20.7
"92","S07",2010-08-31,2010,"2010","Aug",243,0,0,179.992264704,2.49552654061688,0,0,0,0,0,6.51025834052315,0,2.94443897916644,2.19722457733622,0,210.1292,NA,NA,5.59,60.9,NA,758,21.84
"93","S07",2010-09-01,2010,"2010","Sep",244,0,0,143.134818304,1.76049603995284,0,0,0,0,0,0,6.51025834052315,0,2.94443897916644,2.19722457733622,229.0019,NA,NA,5.45,62.1,NA,840.5,22.32
"94","S07",2010-09-02,2010,"2010","Sep",245,0,0,112.57511936,1.09224010394758,0,0,0,0,0,0,0,6.51025834052315,0,2.94443897916644,245.3204,NA,NA,4.925,56.9,NA,898,22.36
"95","S07",2010-09-03,2010,"2010","Sep",246,66,4.20469261939097,90.060095488,0.873792083158068,0,0,0,0,0,0,0,0,6.51025834052315,0,255.5372,NA,NA,4.98,57.1,NA,933,22.37
"96","S07",2010-09-04,2010,"2010","Sep",247,221,5.40267738187228,52.8,3.36375409551277,4.20469261939097,0,0,0,0,0,0,0,0,6.51025834052315,71.6348,NA,NA,7.26,84.05,NA,286,22.51
"97","S07",2010-09-05,2010,"2010","Sep",248,0,0,219.04,7.01314518190804,5.40267738187228,4.20469261939097,0,0,0,0,0,0,0,0,98.312,NA,NA,7.93,84.25,NA,380,18.97
"98","S07",2010-09-06,2010,"2010","Sep",249,0,0,175.232,5.61051614552643,0,5.40267738187228,4.20469261939097,0,0,0,0,0,0,0,122.8607,NA,NA,7.76,81.4,NA,466.5,18
"99","S07",2010-09-07,2010,"2010","Sep",250,0,0,140.1856,4.48841291642115,0,0,5.40267738187228,4.20469261939097,0,0,0,0,0,0,137.7602,NA,NA,7.415,79.95,NA,518.5,18.26
"100","S07",2010-09-08,2010,"2010","Sep",251,20,3.04452243772342,112.14848,3.59073033313692,0,0,0,5.40267738187228,4.20469261939097,0,0,0,0,0,185.1548,NA,NA,7.075,77.65,NA,685,19.495
"101","S07",2010-09-09,2010,"2010","Sep",252,33,3.52636052461616,105.718784,5.30820221668827,3.04452243772342,0,0,0,5.40267738187228,4.20469261939097,0,0,0,0,165.005,NA,NA,7.035,75.6,NA,614,18.89
"102","S07",2010-09-10,2010,"2010","Sep",253,0,0,110.9750272,7.06765019304355,3.52636052461616,3.04452243772342,0,0,0,5.40267738187228,4.20469261939097,0,0,0,116.1914,NA,NA,7.705,80.15,NA,443,17.5
"103","S07",2010-09-11,2010,"2010","Sep",254,0,0,88.78002176,5.65412015443484,0,3.52636052461616,3.04452243772342,0,0,0,5.40267738187228,4.20469261939097,0,0,148.5446,NA,NA,7.49,76.9,NA,557,16.895
"104","S07",2010-09-12,2010,"2010","Sep",255,0,0,71.024017408,4.52329612354787,0,0,3.52636052461616,3.04452243772342,0,0,0,5.40267738187228,4.20469261939097,0,164.0117,NA,NA,8.015,80.9,NA,610,15.99
"105","S07",2010-09-13,2010,"2010","Sep",256,3,1.38629436111989,49.732517888,3.16716146658788,0,0,0,3.52636052461616,3.04452243772342,0,0,0,5.40267738187228,4.20469261939097,179.7626,NA,NA,7.79,78.4,NA,667,15.585
"106","S07",2010-09-14,2010,"2010","Sep",257,0,0,18.45632,3.06265659551671,1.38629436111989,0,0,0,3.52636052461616,3.04452243772342,0,0,0,5.40267738187228,209.8454,NA,NA,7.845,79.25,NA,773,16.36
"107","S07",2010-09-15,2010,"2010","Sep",258,0,0,14.765056,2.45012527641336,0,1.38629436111989,0,0,0,3.52636052461616,3.04452243772342,0,0,0,185.4386,NA,NA,7.675,76.3,NA,687,15.62
"108","S07",2010-09-16,2010,"2010","Sep",259,74,4.31748811353631,11.8120448,1.96010022113069,0,0,1.38629436111989,0,0,0,3.52636052461616,3.04452243772342,0,0,209.2778,NA,NA,8.16,81.6,NA,771,14.715
"109","S07",2010-09-17,2010,"2010","Sep",260,10,2.39789527279837,68.64963584,5.0220706677336,4.31748811353631,0,0,1.38629436111989,0,0,0,3.52636052461616,3.04452243772342,0,103.2785,NA,NA,8.01,81.65,NA,397.5,16.25
"110","S07",2010-09-18,2010,"2010","Sep",261,0,0,60.772225024,5.60906964487657,2.39789527279837,4.31748811353631,0,0,1.38629436111989,0,0,0,3.52636052461616,3.04452243772342,139.8887,NA,NA,8.085,80.05,NA,525.5,15.255
"111","S07",2010-09-19,2010,"2010","Sep",262,0,0,45.074432,4.10861563772296,0,2.39789527279837,4.31748811353631,0,0,1.38629436111989,0,0,0,3.52636052461616,155.072,NA,NA,8.3,83.05,NA,580,15.18
"112","S07",2010-09-20,2010,"2010","Sep",263,0,0,36.0595456,3.28689251017837,0,0,2.39789527279837,4.31748811353631,0,0,1.38629436111989,0,0,0,184.4453,NA,NA,7.795,76.85,NA,683.5,14.985
"113","S07",2010-09-21,2010,"2010","Sep",264,0,0,28.84763648,2.6295140081427,0,0,0,2.39789527279837,4.31748811353631,0,0,1.38629436111989,0,0,204.3113,NA,NA,7.835,74.6,NA,753.5,13.675
"114","S07",2010-09-22,2010,"2010","Sep",265,0,0,23.078109184,2.10361120651416,0,0,0,0,2.39789527279837,4.31748811353631,0,0,1.38629436111989,0,234.3941,NA,NA,7.22,71.95,NA,859.5,16.075
"115","S07",2010-09-23,2010,"2010","Sep",266,0,0,18.1403648,1.53403674162035,0,0,0,0,0,2.39789527279837,4.31748811353631,0,0,1.38629436111989,249.7193,NA,NA,6.615,66.1,NA,913.5,16.24
"116","S07",2010-09-24,2010,"2010","Sep",267,41,3.73766961828337,14.51229184,1.22722939329628,0,0,0,0,0,0,2.39789527279837,4.31748811353631,0,0,183.7358,NA,NA,7.165,70.6,NA,593,16.995
"117","S07",2010-09-25,2010,"2010","Sep",268,0,0,44.409833472,3.97191920926372,3.73766961828337,0,0,0,0,0,0,2.39789527279837,4.31748811353631,0,155.072,NA,NA,6.19,65.15,NA,579.5,17.885
"118","S07",2010-09-26,2010,"2010","Sep",269,8,2.19722457733622,27.58217728,2.71394861119829,0,3.73766961828337,0,0,0,0,0,0,2.39789527279837,4.31748811353631,168.5525,NA,NA,6.205,61.75,NA,627.5,15.925
"119","S07",2010-09-27,2010,"2010","Sep",270,30,3.43398720448515,27.392,3.67146650643006,2.19722457733622,0,3.73766961828337,0,0,0,0,0,0,2.39789527279837,194.2364,NA,NA,7.365,72.15,NA,718,14.46
"120","S07",2010-09-28,2010,"2010","Sep",271,71,4.27666611901606,45.9136,5.68436296873217,3.43398720448515,2.19722457733622,0,3.73766961828337,0,0,0,0,0,0,163.1603,NA,NA,7.785,78.6,NA,608.5,16.375
"121","S07",2010-09-29,2010,"2010","Sep",272,0,0,93.53088,7.96882327019858,4.27666611901606,3.43398720448515,2.19722457733622,0,3.73766961828337,0,0,0,0,0,99.731,NA,NA,7.205,77.8,NA,385,18.985
"122","S07",2010-09-30,2010,"2010","Sep",273,8,2.19722457733622,74.824704,6.37505861615886,0,4.27666611901606,3.43398720448515,2.19722457733622,0,3.73766961828337,0,0,0,0,131.8004,NA,NA,6.895,73.95,NA,497.5,18.545
"123","S07",2010-10-01,2010,"2010","Oct",274,188,5.24174701505964,66.2597632,6.85782655479607,2.19722457733622,0,4.27666611901606,3.43398720448515,2.19722457733622,0,3.73766961828337,0,0,0,146.8418,NA,NA,6.905,74.8,NA,551,18.765
